RestaurantID,Restaurant Name,CountryCode,Country name,City,locality,Cuisines,Currency,USD Rate,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Votes,Average_Cost_for_two,Rating,year&date,Year,Month,Date,Month Name,Quater,Week of Year,Day Name,Financial Quater,Financial month,year&month,USD (Cost) of avg_cost of two,Indian Rupees (Cost) of avg_cost of two,Count of Restaurant
18425148,Shri Ram Dhaba,1,India,New Delhi,Lajpat Nagar 1,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,18-06-2015,2015,6,18,June,QRT-2,25,Thursday,FQ-1,FM-3,01-06-2015,2.4,214.728,
18410302,The Celiac Kitchen,1,India,New Delhi,Lajpat Nagar 1,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,2,0,500,1,15-06-2013,2013,6,15,June,QRT-2,24,Saturday,FQ-1,FM-3,01-06-2013,6,536.82,
8033,Tip Top Eating Corner,1,India,New Delhi,Mayur Vihar Phase 1,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,27-06-2018,2018,6,27,June,QRT-2,26,Wednesday,FQ-1,FM-3,01-06-2018,1.2,107.364,
18440429,KD Corner,1,India,New Delhi,Mayur Vihar Phase 2,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,25-06-2018,2018,6,25,June,QRT-2,26,Monday,FQ-1,FM-3,01-06-2018,3.6,322.092,
18489545,Rajdhani Restaurant,1,India,New Delhi,MG Road,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,16-06-2012,2012,6,16,June,QRT-2,24,Saturday,FQ-1,FM-3,01-06-2012,2.4,214.728,
18489852,Uttrakhand Hotel,1,India,New Delhi,MG Road,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,08-06-2017,2017,6,8,June,QRT-2,23,Thursday,FQ-1,FM-3,01-06-2017,2.4,214.728,
18449786,Fresh Fast Food,1,India,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,01-06-2017,2017,6,1,June,QRT-2,22,Thursday,FQ-1,FM-3,01-06-2017,1.2,107.364,
18361771,NIKs Chicken Corner,1,India,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,10-06-2018,2018,6,10,June,QRT-2,24,Sunday,FQ-1,FM-3,01-06-2018,3.6,322.092,
18449667,Taneja Corner,1,India,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,19-06-2015,2015,6,19,June,QRT-2,25,Friday,FQ-1,FM-3,01-06-2015,2.4,214.728,
18017260,Babu Soup Wala,1,India,New Delhi,Nangloi,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,16-06-2011,2011,6,16,June,QRT-2,25,Thursday,FQ-1,FM-3,01-06-2011,3.6,322.092,
18432628,Aloo Bhaji Restaurant,1,India,New Delhi,Okhla Phase 1,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,2,0,500,1,12-06-2012,2012,6,12,June,QRT-2,24,Tuesday,FQ-1,FM-3,01-06-2012,6,536.82,
18466429,Pritam Tiffin Service,1,India,New Delhi,Palam,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,27-06-2014,2014,6,27,June,QRT-2,26,Friday,FQ-1,FM-3,01-06-2014,1.2,107.364,
18312463,Chhotu Restaurant,1,India,New Delhi,Qutab Institutional Area,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,350,1,13-06-2012,2012,6,13,June,QRT-2,24,Wednesday,FQ-1,FM-3,01-06-2012,4.2,375.774,
18306540,Shree Jagannath Restaurant,1,India,New Delhi,Qutab Institutional Area,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,350,1,28-06-2017,2017,6,28,June,QRT-2,26,Wednesday,FQ-1,FM-3,01-06-2017,4.2,375.774,
18355145,Janta Canteen,1,India,New Delhi,Sainik Farms,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,150,1,15-06-2010,2010,6,15,June,QRT-2,25,Tuesday,FQ-1,FM-3,01-06-2010,1.8,161.046,
18357948,Sansar Hotel,1,India,New Delhi,Sarita Vihar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,04-06-2015,2015,6,4,June,QRT-2,23,Thursday,FQ-1,FM-3,01-06-2015,3.6,322.092,
18455547,Jiya Amritsari Naan,1,India,New Delhi,Subhash Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,02-06-2015,2015,6,2,June,QRT-2,23,Tuesday,FQ-1,FM-3,01-06-2015,2.4,214.728,
305567,Sushil Punjabi Vaishno Dhaba,1,India,New Delhi,Subhash Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,150,1,12-06-2018,2018,6,12,June,QRT-2,24,Tuesday,FQ-1,FM-3,01-06-2018,1.8,161.046,
18445361,Veg Food Express,1,India,New Delhi,Vivek Vihar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,400,1,27-06-2014,2014,6,27,June,QRT-2,26,Friday,FQ-1,FM-3,01-06-2014,4.8,429.456,
18472628,Insane Foods,1,India,New Delhi,Geeta Colony,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,350,1,22-05-2016,2016,5,22,May,QRT-2,22,Sunday,FQ-1,FM-2,01-05-2016,4.2,375.774,
18454468,Lahori Food,1,India,New Delhi,Jama Masjid,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,400,1,22-05-2011,2011,5,22,May,QRT-2,22,Sunday,FQ-1,FM-2,01-05-2011,4.8,429.456,
18416845,AlKarim,1,India,New Delhi,Mahipalpur,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,350,1,27-05-2012,2012,5,27,May,QRT-2,22,Sunday,FQ-1,FM-2,01-05-2012,4.2,375.774,
18414467,Chatori Zubaan Chur Chur Naan,1,India,New Delhi,Mahipalpur,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,07-05-2011,2011,5,7,May,QRT-2,19,Saturday,FQ-1,FM-2,01-05-2011,1.2,107.364,
18460302,Khalsa Eating Point,1,India,New Delhi,Naraina,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,03-05-2018,2018,5,3,May,QRT-2,18,Thursday,FQ-1,FM-2,01-05-2018,3.6,322.092,
18396955,The Taste of Tandoor,1,India,New Delhi,Preet Vihar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,16-05-2010,2010,5,16,May,QRT-2,21,Sunday,FQ-1,FM-2,01-05-2010,3.6,322.092,
18470757,Rasoi  The Indian Zaika,1,India,New Delhi,Sainik Farms,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,350,1,22-05-2018,2018,5,22,May,QRT-2,21,Tuesday,FQ-1,FM-2,01-05-2018,4.2,375.774,
18355143,Shree Balaji Bhojnalaya,1,India,New Delhi,Sainik Farms,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,28-05-2015,2015,5,28,May,QRT-2,22,Thursday,FQ-1,FM-2,01-05-2015,1.2,107.364,
18489535,Night Diner,1,India,New Delhi,Shalimar Bagh,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,400,1,10-05-2014,2014,5,10,May,QRT-2,19,Saturday,FQ-1,FM-2,01-05-2014,4.8,429.456,
18424638,Anupam Eating Point,1,India,New Delhi,Vasundhara Enclave,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,150,1,12-05-2018,2018,5,12,May,QRT-2,19,Saturday,FQ-1,FM-2,01-05-2018,1.8,161.046,
18424656,Rudra The Dhaba,1,India,New Delhi,Vasundhara Enclave,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,02-05-2011,2011,5,2,May,QRT-2,19,Monday,FQ-1,FM-2,01-05-2011,2.4,214.728,
18396171,Baba Chicken Ludhiana Wale,1,India,New Delhi,Chittaranjan Park,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,400,1,11-04-2011,2011,4,11,April,QRT-2,16,Monday,FQ-4,FM-12,01-04-2011,4.8,429.456,
18352684,Front Food Corner,1,India,New Delhi,Hauz Khas,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,50,1,28-04-2012,2012,4,28,April,QRT-2,17,Saturday,FQ-4,FM-12,01-04-2012,0.6,53.682,
18441696,Jain Restaurant,1,India,New Delhi,IP Extension,North Indian,Indian Rupees(Rs.),0.012,Yes,No,No,No,2,0,500,1,23-04-2011,2011,4,23,April,QRT-2,17,Saturday,FQ-4,FM-12,01-04-2011,6,536.82,
312000,Pandit Dhaba,1,India,New Delhi,Karol Bagh,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,25-04-2014,2014,4,25,April,QRT-2,17,Friday,FQ-4,FM-12,01-04-2014,3.6,322.092,
18377904,Break Fast Junction,1,India,New Delhi,Krishna Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,25-04-2016,2016,4,25,April,QRT-2,18,Monday,FQ-4,FM-12,01-04-2016,2.4,214.728,
18264993,Food En Vouge,1,India,New Delhi,Lajpat Nagar 1,North Indian,Indian Rupees(Rs.),0.012,No,Yes,No,No,1,0,400,1,19-04-2013,2013,4,19,April,QRT-2,16,Friday,FQ-4,FM-12,01-04-2013,4.8,429.456,
18358663,Dhaba Cash n Carry Kitchen Chur Chur Naan,1,India,New Delhi,Mahipalpur,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,150,1,04-04-2018,2018,4,4,April,QRT-2,14,Wednesday,FQ-4,FM-12,01-04-2018,1.8,161.046,
18489836,New Gaurav Dhaba,1,India,New Delhi,MG Road,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,250,1,27-04-2011,2011,4,27,April,QRT-2,18,Wednesday,FQ-4,FM-12,01-04-2011,3,268.41,
18466408,Desi Dhaba,1,India,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,400,1,16-04-2014,2014,4,16,April,QRT-2,16,Wednesday,FQ-4,FM-12,01-04-2014,4.8,429.456,
18449657,Panj Tara,1,India,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,2,0,500,1,06-04-2013,2013,4,6,April,QRT-2,14,Saturday,FQ-4,FM-12,01-04-2013,6,536.82,
18449661,Taste Zone,1,India,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,18-04-2011,2011,4,18,April,QRT-2,17,Monday,FQ-4,FM-12,01-04-2011,1.2,107.364,
18354998,Kirti Food Plaza,1,India,New Delhi,Munirka,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,01-04-2016,2016,4,1,April,QRT-2,14,Friday,FQ-4,FM-12,01-04-2016,1.2,107.364,
18423905,Nishaj Chicken Corner,1,India,New Delhi,Munirka,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,10-04-2014,2014,4,10,April,QRT-2,15,Thursday,FQ-4,FM-12,01-04-2014,2.4,214.728,
18432200,Hotel Delhi 43,1,India,New Delhi,Najafgarh,North Indian,Indian Rupees(Rs.),0.012,Yes,No,No,No,2,0,700,1,20-04-2013,2013,4,20,April,QRT-2,16,Saturday,FQ-4,FM-12,01-04-2013,8.4,751.548,
306710,Shiv Shakti Dhaba,1,India,New Delhi,Najafgarh,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,04-04-2011,2011,4,4,April,QRT-2,15,Monday,FQ-4,FM-12,01-04-2011,1.2,107.364,
18478963,Ralhan Eating Corner,1,India,New Delhi,Nehru Place,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,13-04-2018,2018,4,13,April,QRT-2,15,Friday,FQ-4,FM-12,01-04-2018,2.4,214.728,
17989108,Dinesh Ka Mithila Dhaba,1,India,New Delhi,Palam,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,150,1,07-04-2011,2011,4,7,April,QRT-2,15,Thursday,FQ-4,FM-12,01-04-2011,1.8,161.046,
6249,Rama Fast Food,1,India,New Delhi,Preet Vihar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,150,1,21-04-2016,2016,4,21,April,QRT-2,17,Thursday,FQ-4,FM-12,01-04-2016,1.8,161.046,
18273597,Royal Chicken Corner,1,India,New Delhi,Shalimar Bagh,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,450,1,04-04-2015,2015,4,4,April,QRT-2,14,Saturday,FQ-4,FM-12,01-04-2015,5.4,483.138,
18455549,Desi Kukkad,1,India,New Delhi,Subhash Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,22-04-2011,2011,4,22,April,QRT-2,17,Friday,FQ-4,FM-12,01-04-2011,3.6,322.092,
18423889,Annapoorna Bhojanalya,1,India,New Delhi,Vasundhara Enclave,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,11-04-2017,2017,4,11,April,QRT-2,15,Tuesday,FQ-4,FM-12,01-04-2017,1.2,107.364,
18424650,Night Munchers,1,India,New Delhi,Vasundhara Enclave,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,2,0,500,1,17-04-2011,2011,4,17,April,QRT-2,17,Sunday,FQ-4,FM-12,01-04-2011,6,536.82,
18489513,Tandoori Kebab,1,India,New Delhi,Alaknanda,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,400,1,22-03-2018,2018,3,22,March,QRT-1,12,Thursday,FQ-4,FM-12,01-03-2018,4.8,429.456,
18378037,Prem Rasoi,1,India,New Delhi,Dilshad Garden,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,400,1,13-03-2013,2013,3,13,March,QRT-1,11,Wednesday,FQ-4,FM-12,01-03-2013,4.8,429.456,
18124389,Mahesh Shudh Vaishno Bhojanalya,1,India,New Delhi,GTB Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,100,1,23-03-2017,2017,3,23,March,QRT-1,12,Thursday,FQ-4,FM-12,01-03-2017,1.2,107.364,
18451575,Majlis Foods,1,India,New Delhi,Jama Masjid,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,400,1,03-03-2014,2014,3,3,March,QRT-1,10,Monday,FQ-4,FM-12,01-03-2014,4.8,429.456,
18292453,Shri Bala Ji Rasoi,1,India,New Delhi,Mayur Vihar Phase 1,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,24-03-2010,2010,3,24,March,QRT-1,13,Wednesday,FQ-4,FM-12,01-03-2010,2.4,214.728,
308110,Moji Dhaba,1,India,New Delhi,Moti Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,400,1,24-03-2014,2014,3,24,March,QRT-1,13,Monday,FQ-4,FM-12,01-03-2014,4.8,429.456,
18466675,Gungun Tiffin Services,1,India,New Delhi,Mukherjee Nagar,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,200,1,25-03-2013,2013,3,25,March,QRT-1,13,Monday,FQ-4,FM-12,01-03-2013,2.4,214.728,
18361217,Radhe Shyam Dhaba,1,India,New Delhi,Najafgarh,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,250,1,11-03-2012,2012,3,11,March,QRT-1,11,Sunday,FQ-4,FM-12,01-03-2012,3,268.41,
9271,Raju De Special Paneer Wale,1,India,New Delhi,Najafgarh,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,50,1,04-03-2010,2010,3,4,March,QRT-1,10,Thursday,FQ-4,FM-12,01-03-2010,0.6,53.682,
18360900,Gupta Bhojnalya,1,India,New Delhi,Okhla Phase 1,North Indian,Indian Rupees(Rs.),0.012,No,No,No,No,1,0,300,1,04-03-2014,2014,3,4,March,QRT-1,10,Tuesday,FQ-4,FM-12,01-03-2014,3.6,322.092,
